listing_id,id,date,reviewer_id,reviewer_name,comments
12351,68394,2010-07-24,45760,Anna,"This was my first Airbnb experience and I am hooked! these guys are glorious . The most gracious hosts with generous hearts. Of course they do have many years experience running a BnB in Mudgie so they know the drill but that aside , they were welcoming, friendly, and forthcoming. I don't know Sydney and they do - which was they main reason I wanted to stay with an airbnb host. This is a great way to beat the lonely hotel blues, a great way to get that 'in' on local knowledge. A lovely room to stay in, fresh and clean - a wonderful breakfast early saturday morning before my flight home ( for which I appreciate and am eternally thankful) the fluffiest happiest best behaved dog Kenji i have ever met,  I thoroughly recommend these host and their home to all. . I think we are actually friends now! see you soon"
12351,76453,2010-08-09,148786,Stuart,"As my first AirBnB experience, this was a magnificent introduction. Vinh and Stuart were superb hosts...and Kenji their Pomeranian, was equally enthusiastic but very well-behaved and unobtrusive. Their three-story terrace house was unpretentiously stylish but with a retreat-like, relaxed ambience, warm and light. The location was fantastically close to the essence of Sydney...Darling Harbour, Bay-side parks, the City, Circular Quay; all within an enjoyable walking distance.

In line with the AirBnB concept I felt the way in which we could share time was rich, informative and very flexible. I could come and go as I needed, enjoyed engaged conversation on occasions or the gift of attending to my own thoughts or activities comfortably as desired....A beautiful balance and repose. They also gave me access to their wifi which was great to maintain my internet commitments.

Even though they were often out enjoying to their own social activities Stuart and Vinh ensured that my son (who was occasionally visiting me) and I, felt entirely at home and even cooked us both a delicious breakfast with organic-market bought ingredients the morning I was scheduled to leave. The previous day we'd shared a walk down to the monthly Saturday morning market by the bay. I benefited too from hearing of their travel experiences and valued the opportunity to ask about their business venture...where they help creative people define and empower themselves to 'Make Tomorrow (Website hidden by Airbnb) much so that I've chosen to use their services!

So in essence...I'm very grateful, enthusiastic and inspired by the time spent with Vinh and Stuart and would highly recommend their 'AirBnB' experience. 

  "
12351,83283,2010-08-23,190202,Angel,"Like many others this was my first AirBnB experience. I picked their home because it looked so beautiful and well kept.  Their home definitely exceeded my expectations. It was a real bonus when I realized just how close they were to the Darling Harbour.  Although it was only for a day, I felt really welcomed and taken care of. They even had a very yummy custard bun for me upon my arrival. I didn't realize it would be so cold in Sydney this time of year and had only brought a thin hoody.  It was so sweet and caring of Vinh to lend me his jacket for the day.  When I returned after all the sight-seeing, we ended up hanging out and talked the night away. Even though we went to bed quite late, they were kind enough to wake up in the wee hours of the morning just to drive me to the airport! Vinh & Stuart made my stay in Sydney so memorable. I can't even begin to express how much their kindness has touched my heart. I did not feel like just someone renting a room, but rather a visiting friend."
12351,91580,2010-09-06,219308,Meisy,"Vinh and Stuart were very warm and hospitable, they did all they could to make our stay a comfortable one.  We went to the market with their friends and enjoyed a delicious breakfast and lots of interesting conversation.  We had a great time and would recommend them to everyone."
12351,100903,2010-09-20,191976,Dayna,"I had a wonderful experience staying with Vinh and Stuart. They were thoughtful, friendly and warm hosts, very considerate and lovely to chat with. Their home is well located on a street with a great bakery, pubs, small shops, etc., and the guestroom was very peaceful with a skylight and a comfy bed. Breakfasts were fantastic.

Vihn is a great expert on Sydney and was very helpful for advice and suggestions on transport and things to do and see around town. 

Vihn and Stuart are lovely people and really made my stay enjoyable. I would certainly recommend staying with them! "
12351,103486,2010-09-23,34086,Mark,"This was really a great experience.  The house is comfortable, elegant, and I really felt welcomed.  It's very well located and walking distance to Sydney downtown, many attractions, restaurants and pubs.  They were also very helpful with suggestions for places and directions.  Highly recommended!"
12351,109182,2010-10-01,202650,Monica,"Oh my, where do I even start? 

Staying at Vinh and Stu's was definitely the highlight of our Sydney trip.
They were the most welcoming and hospitable hosts anyone could ever dream for. Before we went to Sydney, they sent us a very detailed information pack, that even included the best taxi route from the airport to their home! In short, they are the BEST!

The food and beverage they provided was definitely top quality, and their kitchen was simply amazing and oh so fully equipped. After a healthy and yummy breakfast, we are off to a day of sight-seeing (usually planned with the help of Vinh and Stu), and every night when we come back home we look forward to the interesting conversations with them =)

And I can't praise the apartment enough. The location was simply superb, bus stops literally at the door step, heaps and heaps of cafes and restaurants, and walking distance to the Fish Market!! As you all can see from the photos, they have an absolutely breath-taking apartment. And let me tell you a little secret - the apartment is exactly as gorgeous as the photos are!

If that wasn't enough, I must confess that we seriously considered smuggling Kenji back to Melbourne with us... Hmmm... He is without a doubt the sweetest pup in the entire world. Extremely well behaved, he never barked once, and he just loves to cuddle and cuddle.

Dear Vinh, Stu and Kenji, thank you guys SO much for making our Sydney trip, and firt AirBnB experience simply amazing! Hope to see you guys in Melbourne soon! =)"
12351,117135,2010-10-12,219395,David,"Ditto everything that has been said here about Vinh and Stuart (and of course Kenji, the best behaved Pom I have every met).  They are the consummate hosts and they have a stellar location for exploring Sydney.  We shared two fun evening dinners together.  The experience was exactly what I was hoping for when I signed up for AirBnB-- truly traveling like a human with all of the personal contact and comfort that implies.  I can only hope that the next time my travels take to me Sydney, Vinh and Stuart are still listing their room!  Thank you guys, it was a wonderful experience. "
12351,131079,2010-11-01,195455,Veronika,"My husband and I stayed with Vinh and Stuart during our honeymoon in October 2010. Vinh and Stuart were wonderful hosts to us in their beautiful home, and left us feeling as though we were visiting friends visiting, not strangers in a far away land.

I can't recommend them highly enough.

My husband and I would love the opportunity to visit Sydney again someday, and look forward to seeing Vinh and Stuart when we do."
12351,132574,2010-11-02,270055,Annette & Paul,What an absolute delight to meet Stuart and Vinh.  On arrival we received a very welcome pot of tea and sat chatting for about an hour before retiring.  Vinh was very helpful listening and advising us on our near future venture to build a b&b in Tasmania.  We are looking forward to keeping in touch and learning more through Vinh's business courses.
12351,136299,2010-11-09,269350,Gordon,"I really enjoyed my recent stay with Vinh and Stuart.  They were friendly, welcoming and helped make my stay in Sydney a delight!  They made me dinner one evening and over the course of my four days we had some great conversations about artists, the business of art, food and of course AirBnB.  Staying at their place allowed me to have exactly the low key holiday that I had been hoping for.  Thanks again, guys!  "
12351,141277,2010-11-18,272086,Scott,"Upon my arrival I was warmly greeted with a hot pot of tea, a breakfast pastry, and the affections of Kenji, their adorable pomeranian. After a bit of chatting, Stuart gave me a tour of the house and it's amenities. He even gave me a bus pass with a few rides left on it.

Their comfortable house is immaculately clean and conveniently located. The bus stops just right outside and I was within walking distance of most of the neighborhoods. There are also many restaurants to choose from within a radius of a few blocks. For those traveling without their laptop, they have an extra computer for guests to use.

Stuart and Vinh are exceptional hosts – very friendly, helpful and a delight to talk to. On my next visit to Sydney I would stay with them again in a heartbeat.

Thanks for everything Stuart and Vinh, I couldn't have asked for anything more!"
12351,155431,2010-12-18,310824,Anna,"All three lovely gentlemen (I include Kenji-dog here) were welcoming, easy to talk to, and made my stay a pleasure."
12351,155829,2010-12-19,310824,Anna,"Vinh and Stuart (and Kenji) couldn't have been better hosts. I was an Airbnb virgin and the experience has made me keen to do it again. They're so close to excellent public transport, I got from Pyrmont to the Opera House (including walking for 10 minutes across the forecourt) in under half an hour. Gorgeous bijou residence, no disturbance from neighbours, and just lovely hosts."
12351,156560,2010-12-21,260268,Shirley,"Vinh and Stuart are caring and accommodating hosts.  They went out of their way to make us feel at home and comfortable.  The wifi connection was great and so was the taxi reservation!!  
The information Vinh and Stuart provided before our visit was extremely helpful.  Thanks to these two delightful young men for making our time in Sydney very enjoyable."
12351,159732,2010-12-29,249346,Dee,We really enjoyed our stay with Vinh and Stuart! This was the first time we used AirBNB and it was a great experience. Vinh and Stuart were very welcoming and were happy to tell us anything about Sydney. The house is very modern and artistic from the inside and has a great location.
12351,164763,2011-01-04,194896,Kristian And Youness,"We stayed with Vinh and Stuart over New Years and it was just wonderful. Pure and simple. They are both so friendly and sweet, we had good laughs and they made us feel at ease from the minute we arrived. Great location for Sydney CBD. We can warmly recommend staying with these guys."
12351,167235,2011-01-07,260000,Kristina,"Vinh and Stuart are very good hosts, very nice house, nice breakfast and  a very good location. Lovely dog (Kenji).  They gave me some nice tips about where to go and whats going on in the area. Can really recommend this place for a quick stop over in Sydney.

Kristina"
12351,169641,2011-01-12,205928,Lisa,"We stayed here for 5 days in January last year. The house was everything you could ask for when staying in central Sydney! 

The location for getting around the city was ideal, within walking distance of the city center. The neighborhood is very elegant and close to the Darling Harbour. There you can enjoy a drink and there's a lot of choice from nice restaurants and cosy bars. 

Vinh & Stuart are wonderful hosts! We talked, we laughed, we drank wine, we had a really good time here! Would stay here again anytime!"
12351,171791,2011-01-18,80513,Lars,"We´ve been with Vinh&Stuart for 4 nights in January 2011. Their home is lovely and looks really as shown.  It felt like coming home when they invited us to us their house. And in the evenings, coming back from an exciting day in Sydney,  Vinh was sitting at the table, ""ready"" for a litlle chat. The location is good: Bus stop, Supermarket, Cafe and great Thai across the street; 5 Minutes to Darling Harbour and 10 Minutes to Town Hall. Unfortunately they will move, so we´ve been the last guests. But we hope, they will share their new apt in Sydney also with AirBnB."
12351,180715,2011-02-11,303032,Kim,"Vinh and Stu are awesome hosts! Even their dog, Kenji was perfect - no barking just lots of love. Beautiful and clean home in Pyrmont, quieter then the CBD but literally a few minutes walk from it. Your own balcony, own bathroom really allowed us to have some time to ourselves plus the air conditioning really helped in the sweltering Australian heat. They are quite helpful in regards to answering any of your questions and they welcome you to use their laundry, kitchen and backyard patio as you please. Great guys - friendly, funny and sociable, I will definitely recommend to any of my friends who are looking for a place in Sydney!"
12351,182533,2011-02-15,293562,Wilma,"This was my first airbnb experience and I really enjoyed it. Staying at Stuart and Vinh`s place was excellent. The location is great, close by public transport and restaurants, cafes. It`s only  a 10 min walk to the CBD. Stuart and Vinh are very open and friendly. I definitely recommend staying there."
12351,184011,2011-02-18,329582,May,"We stayed with Vinh and Stuart for 3 days. We're so glad we found airbnb and especially that we stayed with Vinh and Stuart! Not only were they lovely but their home was comfortable and within walking distance to so many places! Vinh was lovely to chat with and even made Troy coffee. As we had a late flight on our last day, Vinh and Stuart were kind enough to let us leave our bags with them until we headed to the airport. Kenji is just as adorable and friendly as all the other comments say he is. If we visit Sydney again, we'd love to stay with Vinh and Stuart once more. "
12351,186619,2011-02-22,351338,Chrissy,"Vinh & Stuart are most lovely hosts very warm and thoughtfull, Their comfy home is in a great location, a 2 min stroll down the road to heaps of lovely resturants so handy after a long day great choices if you want to grab a takeaway or dine in. Nice veiws of the harbour and a 15 min walk to darling harbour. Kenji their little dog is very freindly and very well behaved , I never heard a peep from him and was always there with a happy greeting each day. Great place comfy bed and great aircon. :)"
12351,188663,2011-02-26,344653,David,"I spent a very memorable 3 nights in Sydney with Stuart and Vinh who where friendly, hospitable and excellent hosts…… at ease with their new guest, as I was with them. Their home is just as you see it in the description and photos but the one thing that was really a bonus was the location. If you like walking, then just seconds away you can be walking down steps to the waterfront and passing the finger wharfs on the way to Darling Harbour. If you prefer to use public transport, then the light rail tram is just 2 mins away with a choice of stops. I tended to arrive back late at night but felt completely safe in this area. Just one minute away are several restaurants and my favourite was the Japanese where I had a mix of sushi and sashimi…….all very fresh and served by enthusiastic and dedicated staff. My other favourite dish was breakfast where I was encouraged to just help myself to whatever I fancied in the kitchen. Stuart and Vinh are highly recommended and I have no hesitation in staying there again."
12351,192405,2011-03-05,317160,Beth,"Staying with Vinh and Stu was my husband and my first Airbnb experience, and we have nothing but good things to say about it.  We spent most of our time out and about, but Vinh and Stu were very accomodating with our early mornings and late(ish) nights, and always available with suggestions for the day or encouragement to try Vegemite.  The house was gorgeous and in a great location.  Definitely recommended."
12351,196406,2011-03-11,263945,Paul & Ruth,"We loved our stay at Vinh and Stuarts. From the moment we arrived, they made us feel so so welcome. The house is stunningly decorated and is located perfectly - just a short bus ride or 20 minute walk to Downtown. We enjoyed breakfast out in their garden overlooking the water and, after a day's sightseeing, we looked forward to catching up with our hosts in the evening. We could not have wished for a better - first-time - air bnb experience. "
12351,200392,2011-03-16,354978,Shane,"My vacation in Sydney was a very memorable one. As with any time away from home, accomodation is a huge part of the overall experience. Vinh and Stuart have a great thing going and seem to have a really good handle on providing safe and comfortable lodging to their tourist guests. Their seemed to be no gap between the host and guest. It was one happy family and I especially enjoyed the Pyrmont neighbourhood. I'd surely be a repeat guest. Shane Doucette, Nova Scotia, Canada "
12351,208373,2011-03-25,297196,Matthew,"Vinh and Stu's accommodations are great and they are both amazing hosts. I can't say enough good things about them during my week long stay in Sydney. What I loved about them was after a long day of sight-seeing, coming back to their place was always a fun time, knowing I would see both of them. We would talk for hours about everything from what I did that day to more in depth things like our background, our jobs, our family, our passions, etc. It was much more than just a place to sleep at night. You got a warm, homey, welcoming feeling staying at Vinh and Stu's that you would be extremely hard pressed to find at many 5 star hotels. And on top of that, their Pomeranian Kenji is the sweetest, cutest dog on the face of the earth. If you're a dog lover like I am, you will be at home knowing he will be excited to see you when you come home at night. All in all, I highly recommend Vinh and Stu to anyone thinking of staying in Sydney for business or pleasure. Next time I am back in Sydney, I will stay with Vinh and Stu (and Kenji) in a heartbeat."
12351,210037,2011-03-27,119191,Effie,"Vinh and Stuart are really friendly and helpful hosts. They are always ready for any assist as per your request. They even helped to take our two heavy cases to upstairs. Vinh is really a good friend you can chat with on everything. Every morning you can find everything is in order and clean. You can use the kitchen and laundary as you are at home. The location of the accomodation is quite, safe to close to the city. It took us 15 minutes walk to Gorge St and tram and bus stop are 5 minutes away. Sitting in the living room for breakfast, you can see the harbor from the window and you can walk 2 minutes to touch the sea. The lovely dog Kenji is well behaved and always friendly to anyone. We will stay with Vinh and Stuart once more when we visit Sydney next time. 
Johnston&Effie"
12351,212353,2011-03-29,80688,Rod,"Stayed with Vinh and Stuart for two nights and loved the room ,comfy bed and great setup house ,bathroom,kicthen and view over bay.Vinh and Stuart where very welcoming and helpful with getting around Sydney. We will be staying with them again and reconmended friends to do the same .Thanks guys for a great time.Sandi  and Rod"
12351,215440,2011-04-02,463922,Lisa,Vinh nd Stuart wrote such lovely words about me it is now my turn!!  I felt very very happy to be in their home.  It was my first airbnb experience and these guys were fantastic.  I didnt want to (Website hidden by Airbnb) fact I am going back next week.  Their home is not just a beautiful and gracious abode it is filled with such friendliness and has a great feeling to it which is because these guys are just the best!  Nothing was too much trouble.  Being away on business this was an alternative to soulless hotel rooms for me and at the end of the day it was so lovely to go home!  We had several great conversations and I found them both so interesting and easy to chat with.  If I keep saying nice things everyone will go there and I want to make sure there is a room for me everytime i go to Sydney!!!!  Five stars plus.  Thanks guys. Lisa
12351,219589,2011-04-07,297196,Matthew,"Thanks again Vinh and Stu! I had a lovely time seeing you guys before I jetted out back to the States after my long 3 week holiday. I'm glad you guys enjoyed my photos and after our many conversations about them, I am ready to to pursue my passion and see where it takes me. And I can say now that I have friends' for life in Vinh and Stu. Such great, caring people I was fortunate to cross paths with through AirBnB. I will definitely try to make it back to Sydney in the future and will be staying with you guys in a heartbeat. Thanks again and stay in touch!"
12351,225253,2011-04-13,391689,Katherine,"Staying at Stuart and Vihn's home was my first Airbnb experience and a very positive one. Prior to my arrival,Ii received very detailed directions to their house and other important information. Upon arrival and throughout my stay, they were both very cordial, informative and helpful with making my Sydney experience a positive one. Their condo is beautiful, clean and very strategically located to Darling Harbor. "
12351,230352,2011-04-18,310824,Anna,"A very pleasurable experience: Vinh, Stuart, and Kenji are the perfect hosts. Recommended: sitting on the deck at the back looking out on the bay."
12351,233504,2011-04-20,497546,Arran,"Wonderful spot, with friendly and hospitable hosts."
12351,239059,2011-04-25,470544,Jannifer,"Our stay in Sydney has been great! Vinh+Stuart are such a good host! The location is very convenient..... we can walk to the City, China Town, Fish Market comfortably! It's been great! "
12351,256147,2011-05-09,26917,Robert,"Beautiful accommodation, well placed for getting in to Central Station or walking to Darling Harbour.  Vinh and Stuart were charming hosts."
12351,264115,2011-05-15,472492,Jason,"This was my first airbnb experience (and my first bnb experience) ever. And my gosh, I'll never stay in a hotel in Sydney again if there's a chance I can hang out at Stuart and Vinh's home again. These guys are charming, genuine hosts who seem to have this remarkable ability to give you the exact experience you need. The room and house is wonderful, the bathroom is perfect and the views are sensational. Want to stay in and work? No worries! Feeling like a chat? They are wonderful conversationalists. Want to explore? They'll point you in the right direction. Honestly, I cannot imagine how anyone could be a better host. These guys are generous to the core, and I feel lucky to have met them."
12351,267701,2011-05-17,482586,Laurel,"Vinh and Stuart (and Kenji) are perfect AirBnB hosts-- they provided everything we needed plus some (tidy room, private bath, all amenities) and were there to provide us with friendly advice and conversation while respecting our privacy. We had a wonderful time, and will be staying with them again next time we visit Sydney!"
12351,280946,2011-05-25,358496,Alan,"It was the first time I tried Airbnb. Unlike other hosts here(such as Dylan W), they are responsive to my inquiries. I enjoyed my stay with Vinh+Stuart Horrex. The location is great. You can just walk to the Darling Harbour. The bus stop is just less than a minute walk away that you can take it to the Town Hall & Circular Quay (the Opera House). The house is quiet. Minor things for improvement : more space is needed in the cabinet in the toilet and the wardrobe in the room for guests to put their stuff. 

I was busy travelling and came back late. So I didn't have much time to talk with both hosts. Anyway, they are very nice people. They are flexible about the check in & out time. Therefore I could make full use of my time to rest & travel. And the dog is so cute! To conclude,  I would recommend it to people travelling to Sydney."
12351,285328,2011-05-28,512992,Michael,execellent stay. enjoyed it
12351,295333,2011-06-03,363950,Leila,"This is a great location, especially as i was attending a conference at Darling Harbour - walking distance. Fabulous range of restaurants and cafes steps away - plus a beauty salon on the same street! Easy walk to public transport. On top of all that Vinh and Stuart are perfect hosts - friendly, interesting and informative, yet allowing privacy."
12351,302379,2011-06-07,563382,Bonnie,"Stuart and Vihn are warm, welcoming, and easy going hosts. Its a beautiful home, the location is quiet, villagey and safe, and so so close to the city (you can even walk across Pyrmont Bridge into the CBD). I had a wonderful stay, they made everything so easy, the comfortable room contains all you would need, and bonus - super cute cuddly Pomeranian Kenji!! Would definitely return."
